"product1","product2","combo_freq","profreq1","profreq2","support","cof1_2","conf2_1","lift"
"rolls/buns","soda",520,2001,1824,3.48,28.50877192982456,25.987006496751626,2.1316753903749879447501444264107801702272
"other vegetables","root vegetables",482,2254,1408,3.22,34.23295454545455,21.384205856255544,2.2723756251512462695533118797845193972946
"italian sausage","sausage",428,946,1362,2.86,31.42437591776799,45.243128964059196,4.9701005547742562397100612736885029178932
"small milk","yogurt",248,1317,1647,1.66,15.057680631451124,18.83067577828398,1.7106531329367631445540129562120245199714
"other vegetables","rolls/buns",239,2254,2001,1.60,11.944027986006997,10.603371783496007,0.7928418222122301757691827439830660304637
"other vegetables","soda",224,2254,1824,1.50,12.280701754385964,9.937888198757763,0.8151901492862591259384813471437435060707
"other vegetables","yogurt",210,2254,1647,1.40,12.750455373406194,9.316770186335404,0.8463722861442034643071691106899547952696
"med milk","yogurt",198,1042,1647,1.32,12.021857923497267,19.001919385796544,1.7262095801474675643919600116811074375972
"rolls/buns","yogurt",192,2001,1647,1.28,11.657559198542804,9.5952023988006,0.8716661705577083955752408071635179662661
"other vegetables","sausage",178,2254,1362,1.19,13.069016152716593,7.897071872227151,0.8675182771825451112891368536027917799777
"bottled beer","sausage",165,773,1362,1.10,12.114537444933921,21.345407503234153,2.3448604042833288699032615345518489638309
"sausage","soda",165,1362,1824,1.10,9.046052631578947,12.114537444933921,0.9937374410696344387530572605616951833972
"rolls/buns","root vegetables",162,2001,1408,1.08,11.505681818181818,8.095952023988005,0.8603099018672481944305951520048732057646
"soda","yogurt",159,1824,1647,1.06,9.65391621129326,8.717105263157894,0.7918963506215447542056556628000779756387
"other vegetables","small milk",156,2254,1317,1.04,11.845102505694761,6.921029281277728,0.7862751716513088348361694497470789794356
"large milk","yogurt",155,769,1647,1.04,9.411050394656952,20.156046814044213,1.8310550845885216680481188021765247146367
"sausage","yogurt",154,1362,1647,1.03,9.350333940497874,11.30690161527166,1.0271637035075565687987265412948770858329
"rolls/buns","small milk",150,2001,1317,1.00,11.389521640091116,7.496251874062969,0.8516243017443442290300699270489080312785
"other vegetables","salad dressing",148,2254,403,0.99,36.72456575682382,6.566104702750665,2.4377682025448004208744116760699816167900
"root vegetables","soda",142,1408,1824,0.95,7.785087719298247,10.085227272727272,0.8272761538078149922204458744902420458322
"rolls/buns","sausage",142,2001,1362,0.95,10.425844346549193,7.0964517741129445,0.7795676317494703457567838004462605136878
"italian sausage","other vegetables",135,946,2254,0.90,5.989352262644188,14.270613107822411,0.9472800058528788852409248686058504024124
"other vegetables","tropical fruit",134,2254,1014,0.90,13.214990138067062,5.944986690328305,0.8772079966537682736283965640528700748173
"med milk","other vegetables",132,1042,2254,0.88,5.8562555456965395,12.667946257197697,0.8408953500452171184380797030564076521234
"root vegetables","yogurt",130,1408,1647,0.87,7.8931390406800235,9.232954545454545,0.8387581415245349672625086232226577554363
"other vegetables","shopping bags",127,2254,874,0.85,14.530892448512587,5.634427684117125,0.9645572884411948047991630884070104061205
"shopping bags","small milk",126,874,1317,0.84,9.567198177676538,14.416475972540047,1.6378079992493862168717825631716605211382
"med milk","rolls/buns",121,1042,2001,0.81,6.046976511744128,11.612284069097889,0.8682808307938161434144650863012493687303
"herbs","pork",120,550,651,0.80,18.433179723502306,21.818181818181817,5.0144951822371177241102572177613144141270
"small milk","soda",119,1317,1824,0.80,6.524122807017544,9.03568716780562,0.7411839441047569571014215126049303260544
"rolls/buns","tropical fruit",119,2001,1014,0.80,11.735700197238659,5.947026486756622,0.8775089772667906680050500048822611385901
"large milk","shopping bags",118,769,874,0.79,13.501144164759726,15.344603381014304,2.6268415993905723199200185186042851033487
"bottled water","other vegetables",113,908,2254,0.76,5.013309671694765,12.444933920704845,0.8260918425979853726504965070242252055140
"fish","small milk",111,139,1317,0.74,8.428246013667426,79.85611510791367,9.0721882630569803806714756601374080028630
"large milk","other vegetables",110,769,2254,0.74,4.880212954747116,14.304291287386217,0.9495155556427354112810227317765523473950
"delete","med milk",109,110,1042,0.73,10.460652591170826,99.0909090909091,14.2283894608270807835421454567863262725234
"soda","tropical fruit",109,1824,1014,0.73,10.749506903353057,5.975877192982456,0.8817660213156164568335655465931521414691
"sausage","small milk",108,1362,1317,0.72,8.200455580865604,7.929515418502203,0.9008459353958235079509896520091985157007
"chicken","sauces",106,512,442,0.71,23.981900452488688,20.703125,7.0081483314479637988227342447530935042719
"bottled beer","other vegetables",103,773,2254,0.69,4.569653948535936,13.32470892626132,0.8844911045018716188652770857894229412244
"rolls/buns","shopping bags",102,2001,874,0.68,11.670480549199084,5.097451274362818,0.8726323337187241615782792679375074616784
"italian sausage","soda",102,946,1824,0.68,5.592105263157895,10.782241014799155,0.8844511516635139642866999322293466504822
"root vegetables","small milk",102,1408,1317,0.68,7.744874715261959,7.2443181818181825,0.8230029509215158414604027684840462726663
"tropical fruit","yogurt",100,1014,1647,0.67,6.071645415907711,9.861932938856016,0.8958970287259484404659805519826423843574
"root vegetables","sausage",100,1408,1362,0.67,7.342143906020558,7.1022727272727275,0.7802070818315311709940245764242260082082
"italian sausage","rolls/buns",99,946,2001,0.66,4.94752623688156,10.465116279069768,0.7825040967888148948081519817406258054033
"shopping bags","soda",98,874,1824,0.65,5.37280701754386,11.212814645308924,0.9197704644907463161481650606400470864159
"large milk","soda",97,769,1824,0.65,5.317982456140351,12.613784135240572,1.0346899025848105314530317407995833638663
"bottled water","soda",95,908,1824,0.63,5.208333333333334,10.462555066079295,0.8582277900146842876863279736634172899140
"italian sausage","yogurt",94,946,1647,0.63,5.707346690953248,9.936575052854122,0.9026778138482294024646449504514020983708
"med milk","soda",94,1042,1824,0.63,5.1535087719298245,9.021113243761997,0.7399884668485032153815871501735420406377
"citrus fruit","other vegetables",94,796,2254,0.63,4.17036379769299,11.809045226130653,0.7838816977522929640039622839208940654822
"root vegetables","tropical fruit",94,1408,1014,0.63,9.270216962524655,6.676136363636363,0.9850922314864622551693166896949848205692
"bottled water","rolls/buns",93,908,2001,0.62,4.6476761619190405,10.242290748898679,0.7658428495003599526319061843694993202957
"other vegetables","pip fruit",93,2254,734,0.62,12.670299727520437,4.125998225377107,0.8410515728622926488388389371560353846623
"pip fruit","rolls/buns",92,734,2001,0.61,4.597701149425287,12.534059945504087,0.9372044223120047606442240517845990128262
"citrus fruit","yogurt",89,796,1647,0.59,5.403764420157862,11.180904522613066,1.0157176288241450123136856615929711126068
"citrus fruit","rolls/buns",89,796,2001,0.59,4.447776111944028,11.180904522613066,0.8360254546093787282228932966327570314310
"bottled beer","rolls/buns",86,773,2001,0.57,4.297851074462768,11.1254851228978,0.8318816012433627940529992838666711731522
"pastry","soda",86,774,1824,0.57,4.714912280701754,11.11111111111111,0.9114278752436647166529590148646744548882
"other vegetables","pork",85,2254,651,0.57,13.056835637480798,3.771073646850044,0.8667097373912498284471008454249344161370
"med milk","sausage",84,1042,1362,0.56,6.167400881057269,8.061420345489443,0.8855724758385686624609838258100235058001
"shopping bags","yogurt",84,874,1647,0.56,5.100182149362477,9.610983981693364,0.8730998320224414684187823813750412690251
"large milk","rolls/buns",83,769,2001,0.55,4.147926036981509,10.793237971391417,0.8070386133331253744337949228094727763852
"canned beer","rolls/buns",82,702,2001,0.55,4.097951024487756,11.68091168091168,0.8734122967006525235102301576714742808589
"pastry","rolls/buns",82,774,2001,0.55,4.097951024487756,10.594315245478036,0.7921646411936150794823991129929956371273
"bottled water","sausage",82,908,1362,0.55,6.020558002936858,9.030837004405285,0.9920659563870183142227998369337038986875
"canned beer","other vegetables",82,702,2254,0.55,3.6379769299023956,11.68091168091168,0.7753762225811915260118216597620720511156
"bottled water","root vegetables",81,908,1408,0.54,5.752840909090909,8.920704845814978,0.9479516044253103728628009855807049243653
"pip fruit","soda",79,734,1824,0.53,4.3311403508771935,10.762942779291553,0.8828681461828959313760128339317878762076
"other vegetables","whipped/sour cream",79,2254,654,0.53,12.079510703363914,3.504880212954747,0.8018351337343872526082199920690355684974
"italian sausage","small milk",79,946,1317,0.53,5.998481397114654,8.350951374207188,0.9487238759368864782899786597082260693823
"domestic eggs","other vegetables",79,555,2254,0.53,3.504880212954747,14.234234234234233,0.9448651846167374111523669103744741944432
"newspapers","other vegetables",78,582,2254,0.52,3.460514640638864,13.402061855670103,0.8896257741106303576889308811311323966844
"pastry","sausage",78,774,1362,0.52,5.726872246696035,10.077519379844961,1.1070473198328950823234333136312085347726
"other vegetables","pastry",77,2254,774,0.51,9.948320413436692,3.4161490683229814,0.6603672139566982845723626665966715057415
"root vegetables","shopping bags",77,1408,874,0.51,8.810068649885583,5.46875,0.9361949370709382154321859937128983616021
"herbs","other vegetables",76,550,2254,0.51,3.3717834960070983,13.818181818181818,0.9172477212228765022236720127240020241585
"pastry","yogurt",76,774,1647,0.51,4.61445051608986,9.819121447028424,0.8920078633299288189004721929134312882080
"pork","rolls/buns",75,651,2001,0.50,3.7481259370314843,11.52073732718894,0.8614356416261915120074046220992356300562
"sausage","tropical fruit",75,1362,1014,0.50,7.396449704142012,5.506607929515418,0.8125233514931922246342547748658921342016
"bottled beer","small milk",75,773,1317,0.50,5.694760820045558,9.702457956015524,1.1022640541982100910602300558809875624673
"bottled beer","yogurt",74,773,1647,0.49,4.493017607771707,9.573091849935317,0.8696575607694730558124281675417549982815
"bottled beer","soda",74,773,1824,0.49,4.057017543859649,9.573091849935317,0.7852664487869090585926484756135189166774
"bottled water","yogurt",74,908,1647,0.49,4.493017607771707,8.149779735682818,0.7403582538268751895295719090973798367173
"citrus fruit","soda",73,796,1824,0.49,4.00219298245614,9.170854271356783,0.7522715000440800496345177920729976829208
"fruit/vegetable juice","rolls/buns",73,509,2001,0.49,3.648175912043978,14.341846758349705,1.0723773673084872103694811042245973120198
"citrus fruit","small milk",73,796,1317,0.49,5.54290053151101,9.170854271356783,1.0418703235234639411635053437919117300055
"herbs","yogurt",72,550,1647,0.48,4.371584699453552,13.090909090909092,1.1892300049677098854272543096506257924212
"cereals","rolls/buns",72,438,2001,0.48,3.598200899550225,16.43835616438356,1.2291388552299192866634129033217035450154
"pip fruit","yogurt",72,734,1647,0.48,4.371584699453552,9.809264305177113,0.8911124015425619032175994993002469245966
"pork","soda",71,651,1824,0.47,3.8925438596491233,10.906298003072196,0.8946273614142884085433645627685201574183
"curd","other vegetables",70,503,2254,0.47,3.1055900621118013,13.916500994035786,0.9237741254337330064508094673796370792304
"small milk","tropical fruit",70,1317,1014,0.47,6.903353057199212,5.315110098709187,0.7842670344860637489770934023037916852556
"italian sausage","root vegetables",69,946,1408,0.46,4.900568181818182,7.293868921775898,0.7750771790313280801120155678482220868219
"cereals","small milk",68,438,1317,0.45,5.16324981017464,15.52511415525114,1.7637567045623962022222613650925219734119
"cereals","med milk",68,438,1042,0.45,6.525911708253358,15.52511415525114,2.2292395200659076759497450091921882758403
"canned beer","yogurt",68,702,1647,0.45,4.128718882817243,9.686609686609685,0.8799699704374871342092607065527198023915
"soda","whipped/sour cream",66,1824,654,0.44,10.091743119266056,3.618421052631579,0.8278106389827780465225499091451426243123
"canned beer","sausage",66,702,1362,0.44,4.845814977973569,9.401709401709402,1.0328074601202354513504819715462343664259
"med milk","tropical fruit",65,1042,1014,0.43,6.41025641025641,6.238003838771593,0.9204439194842265860625618257012293647288
"med milk","root vegetables",65,1042,1408,0.43,4.6164772727272725,6.238003838771593,0.6628765158785552260170670341217415929677
"pip fruit","small milk",65,734,1317,0.43,4.935459377372816,8.85558583106267,1.0060537221287750419483648548184256877861
"herbs","soda",65,550,1824,0.43,3.56359649122807,11.818181818181818,0.9694278309409888357755829492808022303106
"canned beer","soda",65,702,1824,0.43,3.56359649122807,9.25925925925926,0.7595232293697205978628373662320953260918
"butter","other vegetables",64,527,2254,0.43,2.839396628216504,12.144212523719165,0.8061300256427956872704275472322231233691
"curd","sausage",64,503,1362,0.43,4.698972099853157,12.72365805168986,1.3977340071173546088497314374838125537838
"chicken","other vegetables",64,512,2254,0.43,2.839396628216504,12.5,0.8297471162377994671534444499046086066910
"brown bread","other vegetables",63,563,2254,0.42,2.7950310559006213,11.190053285968029,0.7427931555663426842877859141640840527383
"cereals","soda",63,438,1824,0.42,3.453947368421053,14.383561643835616,1.1798621124729632287182634427409416675704
"pork","yogurt",63,651,1647,0.42,3.825136612021858,9.67741935483871,0.8791350843175274683953077555840585891591
"frozen vegetables","other vegetables",63,419,2254,0.42,2.7950310559006213,15.035799522673033,0.9980729035414103370698653084388125381456
"pastry","small milk",62,774,1317,0.41,4.707668944570995,8.010335917312661,0.9100276840913594640734218659193264886233
"brown bread","rolls/buns",62,563,2001,0.41,3.0984507746126937,11.012433392539965,0.8234284278819737561505578944311076360198
"italian sausage","med milk",62,946,1042,0.41,5.950095969289827,6.553911205073996,0.9410712039377843070609571107336903166381
"newspapers","rolls/buns",61,582,2001,0.41,3.0484757621189407,10.481099656357388,0.7836992156842540927377076834959175691891
"margarine","other vegetables",61,482,2254,0.41,2.7062999112688555,12.655601659751037,0.8400759185146185480372654615170901259689
"herbs","rolls/buns",61,550,2001,0.41,3.0484757621189407,11.090909090909092,0.8292962609604288763958006658855677955263
"newspapers","yogurt",61,582,1647,0.41,3.7037037037037033,10.481099656357388,0.9521445844469899451536793727396105733778
"chicken","rolls/buns",61,512,2001,0.41,3.0484757621189407,11.9140625,0.8908455928285857070525483967954967838392
"whipped/sour cream","yogurt",61,654,1647,0.41,3.7037037037037033,9.327217125382264,0.8473213274436516026059233177570579023933
"cereals","other vegetables",60,438,2254,0.40,2.6619343389529724,13.698630136986301,0.9093119082058076352089869217018687445196
"beef","other vegetables",60,508,2254,0.40,2.6619343389529724,11.811023622047244,0.7840130232168183940493672844999597594400
"rolls/buns","whipped/sour cream",60,2001,654,0.40,9.174311926605505,2.998500749625187,0.6859872815885635158602081813503935122718
"bottled beer","root vegetables",60,773,1408,0.40,4.261363636363636,7.761966364812419,0.8248191814653651647450408704243660260849
"domestic eggs","rolls/buns",60,555,2001,0.40,2.998500749625187,10.81081081081081,0.8083525804665234943400112241032587213925
"bottled water","italian sausage",59,908,946,0.39,6.236786469344609,6.497797356828194,1.0276960259287889665988315486957078301335
"pastry","root vegetables",59,774,1408,0.39,4.190340909090909,7.622739018087856,0.8100242982147051924326899804067134987915
"large milk","sausage",59,769,1362,0.39,4.331864904552129,7.672301690507152,0.8428265630937445706886183186646441442630
"newspapers","small milk",59,582,1317,0.39,4.479878511769172,10.137457044673539,1.1516828572695937618695254580709078160505
"butter","soda",58,527,1824,0.39,3.179824561403509,11.005692599620494,0.9027805519491327944806034634593538226374
"italian sausage","pastry",58,946,774,0.39,7.493540051679587,6.13107822410148,1.1851833641990483533209689512919150409094
"herbs","small milk",58,550,1317,0.39,4.403948367501898,10.545454545454545,1.1980340995375163945747488545007103790199
