product1,product2,combo_freq,profreq1,profreq2,support,cof1_2,conf2_1,lift,meaningful
rolls/buns,soda,520,2001,1824,3.48,28.508772,25.987007,2.1316755,
other vegetables,root vegetables,482,2254,1408,3.22,34.232956,21.384207,2.2723756,0
italian sausage,sausage,428,946,1362,2.86,31.424376,45.24313,4.9701004,0
small milk,yogurt,248,1317,1647,1.66,15.057681,18.830675,1.7106532,
med milk,yogurt,198,1042,1647,1.32,12.021858,19.001919,1.7262095,
bottled beer,sausage,165,773,1362,1.1,12.114537,21.345407,2.3448603,1
large milk,yogurt,155,769,1647,1.04,9.411051,20.156046,1.831055,
sausage,yogurt,154,1362,1647,1.03,9.350334,11.306902,1.0271637,
other vegetables,salad dressing,148,2254,403,0.99,36.724567,6.566105,2.4377682,1
shopping bags,small milk,126,874,1317,0.84,9.567198,14.416476,1.637808,
herbs,pork,120,550,651,0.8,18.43318,21.818182,5.0144954,1
large milk,shopping bags,118,769,874,0.79,13.501144,15.344604,2.6268415,1
fish,small milk,111,139,1317,0.74,8.428246,79.85612,9.072188,1
delete,med milk,109,110,1042,0.73,10.460652,99.09091,14.22839,0
chicken,sauces,106,512,442,0.71,23.981901,20.703125,7.008148,1
large milk,soda,97,769,1824,0.65,5.3179827,12.613784,1.0346899,
citrus fruit,yogurt,89,796,1647,0.59,5.4037642,11.180904,1.0157176,
pastry,sausage,78,774,1362,0.52,5.7268724,10.077519,1.1070473,
bottled beer,small milk,75,773,1317,0.5,5.694761,9.702458,1.102264,
fruit/vegetable juice,rolls/buns,73,509,2001,0.49,3.648176,14.341846,1.0723773,
citrus fruit,small milk,73,796,1317,0.49,5.5429006,9.170855,1.0418704,
cereals,rolls/buns,72,438,2001,0.48,3.5982008,16.438356,1.2291389,
herbs,yogurt,72,550,1647,0.48,4.371585,13.090909,1.18923,
cereals,med milk,68,438,1042,0.45,6.525912,15.525114,2.2292395,
cereals,small milk,68,438,1317,0.45,5.16325,15.525114,1.7637568,
canned beer,sausage,66,702,1362,0.44,4.845815,9.40171,1.0328075,
curd,sausage,64,503,1362,0.43,4.698972,12.723658,1.397734,
pip fruit,small milk,65,734,1317,0.43,4.9354596,8.855586,1.0060537,
cereals,soda,63,438,1824,0.42,3.4539473,14.383562,1.1798621,
herbs,small milk,58,550,1317,0.39,4.4039483,10.545455,1.198034,
italian sausage,pastry,58,946,774,0.39,7.4935403,6.1310782,1.1851834,
newspapers,small milk,59,582,1317,0.39,4.4798784,10.137457,1.1516829,
bottled water,italian sausage,59,908,946,0.39,6.2367864,6.4977975,1.027696,
domestic eggs,small milk,56,555,1317,0.37,4.252088,10.09009,1.1463016,
